"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
all,1,0,ABC-Dragon Buster,LCKC,Legendary Collection Kaiba Mega Pack,LCKC-EN059,ScR,NearMint,1st Edition,English,7.50,2023-04-30,0.44,2.59,1.01
all,1,0,ABC-Dragon Buster,LCKC,Legendary Collection Kaiba Mega Pack,LCKC-EN059,ScR,NearMint,Unlimited,English,2.32,2023-01-25,0.48,0.75,0.74
all,1,0,Accel Synchro Stardust Dragon,MAZE,Maze Of Memories,MAZE-EN019,UR,NearMint,1st Edition,English,29.64,2023-09-27,4.00,7.61,7.61
all,1,0,Accel Synchro Stardust Dragon,MAZE,Maze Of Memories,MAZE-EN019,CR,NearMint,1st Edition,English,100.70,2023-09-27,12.46,16.00,14.45
all,1,0,"Aether, the Empowering Dragon",YS14,Super Starter Space-Time Showdown,YS14-EN011,C,NearMint,1st Edition,English,0.20,2022-01-08,0.01,0.25,0.10
all,1,0,"Aether, the Evil Empowering Dragon",CT13,2016 Mega-Tins,CT13-EN011,SR,NearMint,Limited,English,0.31,2022-03-05,0.01,0.30,0.16
all,1,0,"Aether, the Evil Empowering Dragon",CT13,2016 Mega-Tins,CT13-EN011,SR,NearMint,Limited,English,0.25,2022-01-08,0.01,0.30,0.16
all,1,0,Alba-Lenatus the Abyss Dragon,DIFO,Dimension Force,DIFO-EN035,ScR,NearMint,1st Edition,English,9.75,2022-07-17,2.00,9.78,4.61
all,1,0,Albaz the Ashen,MP23,25Th Anniversary Tin: Dueling Heroes Mega Pack,MP23-EN122,PScR,NearMint,1st Edition,English,0.18,2023-09-21,0.12,0.48,0.38
all,1,0,Albion the Branded Dragon,LIOV,Lightning Overdrive,LIOV-EN033,UR,NearMint,1st Edition,English,10.83,2022-07-17,2.90,5.00,4.75
all,1,0,Albion the Sanctifire Dragon,CYAC,Cyberstorm Access,CYAC-EN035,ScR,NearMint,1st Edition,English,12.91,2023-05-18,0.92,4.76,1.47
all,1,0,Albion the Sanctifire Dragon,CYAC,Cyberstorm Access,CYAC-EN035,ScR,NearMint,1st Edition,English,8.74,2023-09-08,0.92,4.76,1.47
all,1,0,Albion the Shrouded Dragon,DAMA,Dawn Of Majesty,DAMA-EN008,SR,NearMint,1st Edition,English,0.91,2022-07-17,0.19,0.69,0.57
all,1,0,Alexandrite Dragon,BP02,Battle Pack 2: War of the Giants,BP02-EN004,C,NearMint,1st Edition,English,0.58,2022-01-08,0.14,0.33,0.38
all,1,0,All-Eyes Phantom Dragon,BLHR,"Battles of Legend: Hero's Revenge",BLHR-EN043,ScR,NearMint,1st Edition,English,1.02,2022-01-08,0.23,0.55,0.34
all,1,0,"Amorphactor Pain, the Imagination Dracoverlord",OP15,Ots Tournament Pack 15,OP15-EN021,C,NearMint,Unlimited,English,0.25,2022-01-24,0.08,0.29,0.09
all,1,0,"Amorphactor Pain, the Imagination Dracoverlord",SHVI,Shining Victories,SHVI-EN044,SR,NearMint,1st Edition,English,0.75,2022-01-08,0.03,0.40,0.24
all,1,0,Amorphage Lechery,SHVI,Shining Victories,SHVI-EN025,UR,NearMint,1st Edition,English,0.63,2022-01-08,0.34,1.20,1.22
all,1,0,Amorphage Sloth,SHVI,Shining Victories,SHVI-EN030,ScR,NearMint,1st Edition,English,1.95,2023-09-21,8.30,10.87,16.85
